,,,,,year,month,day,cond,temp,snow,wind,visi,temp score,wind score,visibi score,Total Score,Outcome
,,,,,2013,1,6,Mostly Cloudy,8,0,3,10,1,0,0,1,Ok
Temp Score,,,,,2013,1,11,Clear,14,0,5,10,1,0,0,1,Ok
Good,15,40,,,2013,1,16,Mostly Cloudy,8,0,3,10,1,0,0,1,Ok
,,,,,2013,1,21,Mostly Cloudy,8,0,3,10,1,0,0,1,Ok
Wind Score,,,,,2013,1,26,Overcast,9,0,5,10,1,0,0,1,Ok
Good,0,5,,,2013,2,1,Overcast,9,0,5,10,1,0,0,1,Ok
,,,,,2013,2,6,Clear,22,0,6,10,0,1,0,1,Ok
Visibility Score,,,,,2013,1,6,Mostly Cloudy,0,0,7,10,1,1,0,2,Bad
Good,5,10,,,2013,1,11,Clear,14,0,3,10,1,0,0,1,Ok
,,,,,2013,1,6,Light Snow,10,1,0,2.5,1,0,1,2,Bad
,,,,,2013,1,11,Clear,13,0,0,10,1,0,0,1,Ok
,,,,,2013,1,16,Light Snow,10,1,0,2.5,1,0,1,2,Bad
,,,,,2013,1,21,Light Snow,10,1,0,2.5,1,0,1,2,Bad
,,,,,2013,1,26,Mostly Cloudy,7,0,0,7,1,0,0,1,Ok
,,,,,2013,2,1,Mostly Cloudy,7,0,0,7,1,0,0,1,Ok
,,,,,2013,2,6,Overcast,24,0,0,10,0,0,0,0,Good
,,,,,2013,2,11,Clear,30,0,2,10,0,0,0,0,Good
,,,,,2013,2,16,Overcast,24,0,0,10,0,0,0,0,Good
,,,,,2013,2,21,Overcast,24,0,0,10,0,0,0,0,Good
,,,,,2013,2,26,Clear,19,0,0,10,0,0,0,0,Good
,,,,,2013,3,1,Clear,19,0,0,10,0,0,0,0,Good
,,,,,2013,3,6,Overcast,34,0,1,10,0,0,0,0,Good
,,,,,2013,3,11,Clear,38,0,4,10,0,0,0,0,Good
,,,,,2013,3,16,Overcast,34,0,1,10,0,0,0,0,Good
,,,,,2013,3,21,Overcast,34,0,1,10,0,0,0,0,Good
,,,,,2013,3,26,Clear,34,0,2,10,0,0,0,0,Good
,,,,,2013,4,1,Clear,34,0,2,10,0,0,0,0,Good
,,,,,2013,4,6,Mostly Cloudy,44,0,5,10,1,0,0,1,Ok
